所属项目,电压条件文件夹,电压条件,项目标记,器件总数,P-switch器件数,P-switch均值(V),P-switch中位数(V),P-switch标准差(V),P-switch最小值(V),P-switch最大值(V),P-switch范围(V),P-switch FWHM(V),N-switch器件数,N-switch均值(V),N-switch中位数(V),N-switch标准差(V),N-switch最小值(V),N-switch最大值(V),N-switch范围(V),N-switch FWHM(V)
24B-W034-262TC2-20250610-D22,6_n3p3,-3v~3v,正常,900,899,1.6887430478309233,1.65,0.4705993899222084,0.03,3.0,2.97,1.1082615632668007,899,-2.6030255839822023,-2.85,0.5524732510345192,-3.0,-0.06,2.94,1.3010745061862927
24B-W034-262TC2-20250610-D22,7_n3.3p3,-3.3v~3v,正常,945,944,1.7877966101694913,1.8,0.4718520367560469,0.03,3.0,2.97,1.1112115465604906,944,-2.82281779661017,-3.2,0.7011196201817743,-3.3,-0.03,3.27,1.6511367055280786
24B-W034-262TC2-20250610-D22,8_n3.3p3.3,-3.3v~3.3v,正常,974,973,1.9388180883864337,1.91,0.5191128281951367,0.16,3.3,3.1399999999999997,1.222510710399547,972,-2.7016975308641977,-3.17,0.7817532245490032,-3.3,-0.13,3.17,1.8410288438129025
24B-W035-263TC2-20200526- D25,1_np1v,-1v~1v,正常,972,972,0.5300000000000001,0.54,0.2910674979493809,0.01,1.0,0.99,0.685463957670792,972,-0.5444444444444444,-0.56,0.2969113229175035,-1.0,-0.01,0.99,0.6992261654707207
24B-W035-263TC2-20200526- D25,2_np1.5v,-1.5v~1.5v,正常,950,949,0.8479346680716544,0.93,0.4391953612545218,0.03,1.5,1.47,1.0343050757543988,948,-0.8791350210970463,-0.93,0.4462783930872477,-1.5,-0.03,1.47,1.0509856157204684
24B-W035-263TC2-20200526- D25,3_np2v,-2v~2v,正常,861,860,1.2230930232558141,1.34,0.5622921787175783,0.02,2.0,1.98,1.324198080879897,860,-1.208093023255814,-1.32,0.6113902101017904,-2.0,-0.02,1.98,1.4398239447897163
24B-W035-263TC2-20200526- D25,4_np2.5v,-2.5v~2.5v,正常,759,759,1.6176021080368903,1.8,0.6724954863818743,0.05,2.5,2.45,1.583726870429314,759,-1.7805797101449277,-2.05,0.7269607685475907,-2.5,-0.05,2.45,1.7119926099295761
24B-W035-263TC2-20200526- D25,5_np3v,-3v~3v,正常,840,839,1.9793921334922526,2.07,0.7100374708489992,0.03,3.0,2.97,1.672138243849393,839,-2.2997377830750896,-2.58,0.7614534700213073,-3.0,-0.03,2.97,1.7932229219001785
24B-W035-263TC2-20200526- D25,6_np3.3v,-3.3v~3.3v,正常,982,981,1.9985015290519874,1.98,0.78459654083192,0.07,3.3,3.23,1.8477248536591715,980,-2.3249285714285715,-2.41,0.7958081540029155,-3.3,-0.03,3.27,1.874128202676866
24B-W035-265TC2-20250703-D24,10_np3.3v,-3.3v~3.3v,正常,1024,1024,1.720322265625,1.78,0.733725075531482,0.03,3.3,3.27,1.7279225528766402,1024,-2.238115234375,-2.14,0.7246816555285318,-3.3,-0.07,3.23,1.7066252987696924
24B-W035-265TC2-20250703-D24,1_np1v,-1v~1v,正常,1025,1024,0.5648730468750001,0.62,0.2872160223519795,0.01,1.0,0.99,0.6763937326389118,1023,-0.58475073313783,-0.64,0.30984610698955906,-1.0,-0.01,0.99,0.7296875819604116
24B-W035-265TC2-20250703-D24,2_np1.5v,-1.5v~1.5v,正常,1025,1024,0.996435546875,1.14,0.4035600250135634,0.03,1.5,1.47,0.9503838589069419,1024,-1.168212890625,-1.4,0.4353138771531135,-1.5,-0.03,1.47,1.0251641806955822
24B-W035-265TC2-20250703-D24,3_np2v,-2v~2v,正常,1025,1024,1.3231640625,1.36,0.406046369749328,0.02,1.98,1.96,0.9562392007596674,1024,-1.79333984375,-1.94,0.33197618796935674,-2.0,-0.04,1.96,0.7818039226678352
24B-W035-265TC2-20250703-D24,4_np2v,-2v~2v,正常,1025,1024,1.2200781250000001,1.3,0.45992476088962025,0.02,2.0,1.98,1.0831228118950558,1023,-1.4320821114369502,-1.52,0.4630810890247703,-2.0,-0.04,1.96,1.090555964653334
24B-W035-265TC2-20250703-D24,5_np2.5v,-2.5v~2.5v,正常,1024,1024,1.361669921875,1.3,0.53525013970694,0.05,2.5,2.45,1.2605140790098437,1024,-2.09359375,-2.33,0.5088237782780533,-2.5,-0.15,2.35,1.1982799978448153
24B-W035-265TC2-20250703-D24,6_np2.5v,-2.5v~2.5v,正常,1025,1024,1.45900390625,1.6,0.5670101172845207,0.05,2.5,2.45,1.335308826205046,1024,-1.765546875,-1.85,0.5787787507980632,-2.5,-0.1,2.4,1.3630239581294388
24B-W035-265TC2-20250703-D24,7_n3p2.5v,-3v~2.5v,正常,1025,1024,1.33716796875,1.35,0.5501656971672851,0.05,2.5,2.45,1.2956402168289565,1023,-2.1724926686217008,-2.31,0.685611375784919,-3.0,-0.12,2.88,1.6146147899734844
24B-W035-265TC2-20250703-D24,8_n3p3v,-3v~3v,正常,1025,1024,1.4874316406249999,1.455,0.6524341558182283,0.03,3.0,2.97,1.5364824369519277,1023,-2.096715542521994,-2.1,0.6626085291032597,-3.0,-0.12,2.88,1.5604430860381766
24B-W035-266TC2-20250710-D26,1_np1v,-1v~1v,正常,65,65,0.45384615384615384,0.43,0.2678134396581666,0.01,0.93,0.92,0.6307006503949824,65,-0.5626153846153846,-0.51,0.3050731312072818,-1.0,-0.06,0.94,0.7184472239931486
24B-W036-271TC2-20250619-D27,7_np3v,-3v~3v,正常,608,608,1.747154605263158,1.62,0.7276451801414203,0.03,3.0,2.97,1.7136043992330448,608,-2.167993421052632,-2.16,0.6378422645820234,-3.0,-0.09,2.91,1.5021185330906652
24B-W036-271TC2-20250619-D27,8_n3.3p3v,-3.3v~3v,正常,900,899,1.6191323692992212,1.56,0.6406178490811091,0.03,3.0,2.97,1.508655034586012,898,-2.4787305122494434,-2.71,0.7460027652325636,-3.3,-0.16,3.1399999999999997,1.7568365121226872
24B-W036-271TC2-20250619-D27,9_np3.3v,-3.3v~3.3v,正常,925,925,1.6757621621621621,1.58,0.6907681179112081,0.03,3.3,3.27,1.626758917680895,925,-2.461124324324324,-2.64,0.7284269883686885,-3.3,-0.07,3.23,1.7154455576082612
24B-W037-274TC2-20250527-D27,1_np1v,-1v~1v,正常,1024,1024,0.475849609375,0.47,0.27994878186742567,0.01,1.0,0.99,0.6592793812977874,1024,-0.517177734375,-0.54,0.297140072245499,-1.0,-0.01,0.99,0.6997648701381501
24B-W037-274TC2-20250527-D27,2_np1.5v,-1.5v~1.5v,正常,1025,1024,0.7447851562500001,0.74,0.4315261429589899,0.03,1.5,1.47,1.0162440666684212,1023,-0.8265298142717499,-0.87,0.4353597842276706,-1.5,-0.03,1.47,1.0252722918561643
24B-W037-274TC2-20250527-D27,3_np2v,-2v~2v,正常,1025,1024,0.97521484375,0.98,0.5702382009309382,0.02,2.0,1.98,1.3429109631923595,1024,-1.0555859375,-1.08,0.5978920681518082,-2.0,-0.02,1.98,1.4080358204975083
24B-W037-274TC2-20250527-D27,4_np2.5v,-2.5v~2.5v,正常,1025,1024,1.298828125,1.35,0.7190770081473463,0.05,2.5,2.45,1.6934263541870005,1024,-1.386728515625,-1.43,0.7316683359215225,-2.5,-0.05,2.45,1.7230789310951855
24B-W037-274TC2-20250527-D27,5_np3v,-3v~3v,正常,1025,1024,1.466015625,1.44,0.8487592829425972,0.03,3.0,2.97,1.9988281113298163,1023,-1.6296480938416424,-1.62,0.8996991633072448,-3.0,-0.03,2.97,2.1187915295885613
24B-W037-274TC2-20250527-D27,6_np3.3v,-3.3v~3.3v,正常,1024,1024,1.756044921875,1.78,1.015659637117086,0.03,3.3,3.27,2.391878445410738,1024,-2.0781542968749998,-2.28,1.047153947449437,-3.3,-0.03,3.27,2.466047546243424
24B-W037-276TC2-20250523- D26,1_np1v,-1v~1v,正常,1024,1024,0.48686523437499996,0.48,0.27465118267186384,0.01,1.0,0.99,0.6468035351922393,1024,-0.508037109375,-0.51,0.2896901546796548,-1.0,-0.01,0.99,0.682220314270587
24B-W037-276TC2-20250523- D26,2_np1.5v,-1.5v~1.5v,正常,1014,1013,0.7525567620927937,0.75,0.43024429817584536,0.03,1.5,1.47,1.0132253222041159,1012,-0.8258003952569171,-0.87,0.42560209480884775,-1.5,-0.03,1.47,1.0022929332748365
24B-W037-276TC2-20250523- D26,3_np2v,-2v~2v,正常,1017,1016,0.9586023622047244,0.94,0.5698638808642168,0.02,2.0,1.98,1.3420294394352306,1016,-1.0733858267716534,-1.1,0.5817808169502803,-2.0,-0.02,1.98,1.3700938239179101
24B-W037-276TC2-20250523- D26,4_np2.5v,-2.5v~2.5v,正常,1025,1024,1.3300390625,1.39,0.740029455991842,0.05,2.5,2.45,1.742769368860788,1024,-1.453779296875,-1.5,0.7300961211781821,-2.5,-0.05,2.45,1.7193763653746188
24B-W037-276TC2-20250523- D26,5_np3v,-3v~3v,正常,1025,1024,1.6847460937499998,1.77,0.871537407444538,0.03,3.0,2.97,2.052470594531887,1023,-1.7802346041055719,-1.83,0.8645472915179664,-3.0,-0.03,2.97,2.036008871524811
24B-W037-276TC2-20250523- D26,6_np3.3v,-3.3v~3.3v,正常,1016,1016,2.033996062992126,2.28,0.9948484925541146,0.03,3.3,3.27,2.34286819996494,1016,-2.1812204724409447,-2.44,1.0033933002022741,-3.3,-0.03,3.27,2.3629912219763556
24B-W037-277TC2-20250528-D24,1_np1v,-1v~1v,正常,974,974,0.5032648870636551,0.505,0.2905288399521182,0.01,1.0,0.99,0.6841954180872384,974,-0.5423100616016427,-0.55,0.29502121156586114,-1.0,-0.01,0.99,0.694774953237603
