所属项目,电压条件文件夹,电压条件,文件名,项目标记,正切换电压(V),负切换电压(V),数据点数
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_L02.txt,正常,1.02,-0.75,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_L03.txt,正常,0.795,-1.485,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_L04.txt,正常,0.285,-1.185,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_L05.txt,正常,0.705,-0.96,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_L06.txt,正常,1.11,-0.945,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_L07.txt,正常,0.81,-1.485,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_L08.txt,正常,1.305,-1.08,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_L09.txt,正常,1.23,-0.96,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_L10.txt,正常,0.84,-0.75,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_L11.txt,正常,0.81,-1.245,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_L12.txt,正常,0.135,-0.3,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_L13.txt,正常,0.555,-1.215,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_L14.txt,正常,0.42,-1.23,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_L15.txt,正常,0.81,-1.35,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_R00.txt,正常,0.81,-1.335,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_R01.txt,正常,1.17,-0.645,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_R02.txt,正常,0.63,-0.15,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_R03.txt,正常,0.84,-1.02,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_R04.txt,正常,0.66,-1.215,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_R05.txt,正常,0.555,-0.72,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_R06.txt,正常,0.525,-1.32,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_R07.txt,正常,1.335,-0.75,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_R08.txt,正常,0.465,-0.36,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_R09.txt,正常,1.26,-0.96,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_R10.txt,正常,0.915,-0.96,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_R11.txt,正常,0.45,-1.005,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_R12.txt,正常,0.3,-0.825,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_R13.txt,正常,1.305,-0.99,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_R14.txt,正常,0.195,-0.81,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00011_BL_R15.txt,正常,1.32,-0.765,404
24B-110TC2_20241024,+-1.5v,-1.5v~1.5v,TC2_MA_init_00100_BL_L00.txt,正常,0.465,-1.11,404
