所属项目,电压条件文件夹,电压条件,项目标记,器件总数,P-switch器件数,P-switch均值(V),P-switch中位数(V),P-switch标准差(V),P-switch最小值(V),P-switch最大值(V),P-switch范围(V),P-switch FWHM(V),N-switch器件数,N-switch均值(V),N-switch中位数(V),N-switch标准差(V),N-switch最小值(V),N-switch最大值(V),N-switch范围(V),N-switch FWHM(V)
24B-W034-262TC2-20250610-D22,6_n3p3,-3v~3v,正常,899,899,1.6887430478309233,1.65,0.4705993899222084,0.03,3.0,2.97,1.1082615632668007,899,-2.60476084538376,-2.85,0.5473750109863358,-3.0,-0.06,2.94,1.2890681508728208
24B-W034-262TC2-20250610-D22,7_n3.3p3,-3.3v~3v,正常,944,944,1.7877966101694913,1.8,0.4718520367560469,0.03,3.0,2.97,1.1112115465604906,944,-2.8259322033898306,-3.2,0.6956538153547506,-3.3,-0.03,3.27,1.6382647351604376
24B-W034-262TC2-20250610-D22,8_n3.3p3.3,-3.3v~3.3v,正常,973,973,1.9375334018499486,1.91,0.518525806990217,0.16,3.3,3.1399999999999997,1.221128275461961,973,-2.70082219938335,-3.17,0.7818279087166459,-3.3,-0.13,3.17,1.841204725027701
24B-W035-263TC2-20200526- D25,1_np1v,-1v~1v,正常,972,972,0.5300000000000001,0.54,0.2910674979493809,0.01,1.0,0.99,0.685463957670792,972,-0.5444444444444444,-0.56,0.2969113229175035,-1.0,-0.01,0.99,0.6992261654707207
24B-W035-263TC2-20200526- D25,2_np1.5v,-1.5v~1.5v,正常,949,949,0.8471654373024237,0.93,0.4393751256985776,0.03,1.5,1.47,1.0347284210201504,949,-0.8794415173867228,-0.93,0.44614287413279086,-1.5,-0.03,1.47,1.0506664685827225
24B-W035-263TC2-20200526- D25,3_np2v,-2v~2v,正常,860,860,1.2230930232558141,1.34,0.5622921787175783,0.02,2.0,1.98,1.324198080879897,860,-1.209139534883721,-1.32,0.610226167785988,-2.0,-0.02,1.98,1.4370826251360018
24B-W035-263TC2-20200526- D25,4_np2.5v,-2.5v~2.5v,正常,759,759,1.6176021080368903,1.8,0.6724954863818743,0.05,2.5,2.45,1.583726870429314,759,-1.7805797101449277,-2.05,0.7269607685475907,-2.5,-0.05,2.45,1.7119926099295761
24B-W035-263TC2-20200526- D25,5_np3v,-3v~3v,正常,839,839,1.9793921334922526,2.07,0.7100374708489992,0.03,3.0,2.97,1.672138243849393,839,-2.3010965435041717,-2.58,0.7601832080237685,-3.0,-0.03,2.97,1.7902314548959748
24B-W035-263TC2-20200526- D25,6_np3.3v,-3.3v~3.3v,正常,981,981,1.9985015290519874,1.98,0.78459654083192,0.07,3.3,3.23,1.8477248536591715,981,-2.3253516819571867,-2.41,0.7955124158331013,-3.3,-0.03,3.27,1.8734317392869535
24B-W035-265TC2-20250703-D24,10_np3.3v,-3.3v~3.3v,正常,1024,1024,1.7203222656250001,1.78,0.733725075531482,0.03,3.3,3.27,1.7279225528766402,1024,-2.238115234375,-2.14,0.7246816555285317,-3.3,-0.07,3.23,1.7066252987696922
24B-W035-265TC2-20250703-D24,1_np1v,-1v~1v,正常,1024,1024,0.5643261718749999,0.62,0.2877198849881412,0.01,1.0,0.99,0.6775803291470726,1024,-0.5848437500000001,-0.64,0.30970893376832703,-1.0,-0.01,0.99,0.7293645390244101
24B-W035-265TC2-20250703-D24,2_np1.5v,-1.5v~1.5v,正常,1024,1024,0.9964355468749999,1.14,0.4035600250135635,0.03,1.5,1.47,0.950383858906942,1024,-1.1683691406249999,-1.4,0.43495865183071,-1.5,-0.03,1.47,1.024327625061322
24B-W035-265TC2-20250703-D24,3_np2v,-2v~2v,正常,1024,1024,1.3231640625,1.36,0.406046369749328,0.02,1.98,1.96,0.9562392007596674,1024,-1.79455078125,-1.94,0.3303145711194364,-2.0,-0.04,1.96,0.7778908149862728
24B-W035-265TC2-20250703-D24,4_np2v,-2v~2v,正常,1024,1024,1.2198437500000001,1.3,0.45972065873361745,0.02,2.0,1.98,1.0826421513176692,1024,-1.4314453124999997,-1.52,0.4633030513999032,-2.0,-0.04,1.96,1.091078686046772
24B-W035-265TC2-20250703-D24,5_np2.5v,-2.5v~2.5v,正常,1024,1024,1.3616699218750001,1.3,0.5352501397069401,0.05,2.5,2.45,1.260514079009844,1024,-2.09359375,-2.33,0.5088237782780531,-2.5,-0.15,2.35,1.198279997844815
24B-W035-265TC2-20250703-D24,6_np2.5v,-2.5v~2.5v,正常,1024,1024,1.4590039062499998,1.6,0.5670101172845207,0.05,2.5,2.45,1.335308826205046,1024,-1.766474609375,-1.85,0.5789215150318799,-2.5,-0.1,2.4,1.3633601679000773
24B-W035-265TC2-20250703-D24,7_n3p2.5v,-3v~2.5v,正常,1024,1024,1.3371679687499998,1.35,0.5501656971672851,0.05,2.5,2.45,1.2956402168289565,1024,-2.1717773437499996,-2.31,0.6856583947175888,-3.0,-0.12,2.88,1.6147255195599217
